doc_no,erp_amount,db_amount,max_date,payment_amount,max_date_payment,total_db,tx_date,diff
15668,0.0,3435.17,2022-09-19,0.0,,3435.17,2022-09-19,-3435.17
16042,0.0,0.0,,-3100.0,2022-09-19,-3100.0,2022-09-19,3100.0
16059,0.0,0.0,,-3430.0,2022-09-20,-3430.0,2022-09-20,3430.0
15692,0.0,3179.66,2022-09-20,0.0,,3179.66,2022-09-20,-3179.66
16125,0.0,0.0,,-3180.0,2022-09-22,-3180.0,2022-09-22,3180.0
15772,0.0,3605.49,2022-09-22,0.0,,3605.49,2022-09-22,-3605.49
16132,0.0,0.0,,-3605.5,2022-09-25,-3605.5,2022-09-25,3605.5
15794,0.0,3262.16,2022-09-25,0.0,,3262.16,2022-09-25,-3262.16
16198,0.0,0.0,,-3262.2,2022-09-28,-3262.2,2022-09-28,3262.2
15841,0.0,3262.16,2022-09-28,0.0,,3262.16,2022-09-28,-3262.16
16247,0.0,0.0,,-3262.11,2022-10-02,-3262.11,2022-10-02,3262.11
15883,0.0,3504.8,2022-10-02,0.0,,3504.8,2022-10-02,-3504.8
15931,0.0,3452.1,2022-10-02,0.0,,3452.1,2022-10-02,-3452.1
15930,0.0,3212.97,2022-10-05,0.0,,3212.97,2022-10-05,-3212.97
15938,0.0,4784.0,2022-10-05,0.0,,4784.0,2022-10-05,-4784.0
4152,0.0,-3504.8,2022-10-05,0.0,,-3504.8,2022-10-05,3504.8
16277,0.0,0.0,,-3452.0,2022-10-05,-3452.0,2022-10-05,3452.0
15966,0.0,2550.72,2022-10-09,0.0,,2550.72,2022-10-09,-2550.72
4167,0.0,-4784.0,2022-10-09,0.0,,-4784.0,2022-10-09,4784.0
16334,0.0,0.0,,-3213.0,2022-10-09,-3213.0,2022-10-09,3213.0
16365,0.0,0.0,,-2550.72,2022-10-11,-2550.72,2022-10-11,2550.72
16006,0.0,2968.14,2022-10-11,0.0,,2968.14,2022-10-11,-2968.14
16371,0.0,0.0,,-11069.35,2022-10-11,-11069.35,2022-10-11,11069.35
16051,0.0,2727.48,2022-10-14,0.0,,2727.48,2022-10-14,-2727.48
16410,0.0,0.0,,-2968.2,2022-10-14,-2968.2,2022-10-14,2968.2
16448,0.0,0.0,,-2727.5,2022-10-16,-2727.5,2022-10-16,2727.5
16061,0.0,3476.2,2022-10-16,0.0,,3476.2,2022-10-16,-3476.2
16131,0.0,3476.2,2022-10-20,0.0,,3476.2,2022-10-20,-3476.2
16511,0.0,0.0,,-3476.2,2022-10-20,-3476.2,2022-10-20,3476.2
16150,0.0,3476.2,2022-10-23,0.0,,3476.2,2022-10-23,-3476.2
16529,0.0,0.0,,-3476.2,2022-10-23,-3476.2,2022-10-23,3476.2
16570,0.0,0.0,,-3476.2,2022-10-26,-3476.2,2022-10-26,3476.2
16188,0.0,3476.2,2022-10-26,0.0,,3476.2,2022-10-26,-3476.2
16224,0.0,2914.66,2022-10-27,0.0,,2914.66,2022-10-27,-2914.66
16593,0.0,0.0,,-3476.2,2022-10-28,-3476.2,2022-10-28,3476.2
16618,0.0,0.0,,-2915.0,2022-10-31,-2915.0,2022-10-31,2915.0
16272,0.0,3476.2,2022-10-31,0.0,,3476.2,2022-10-31,-3476.2
16676,0.0,0.0,,-2873.4,2022-11-02,-2873.4,2022-11-02,2873.4
16296,0.0,2873.68,2022-11-02,0.0,,2873.68,2022-11-02,-2873.68
16717,0.0,0.0,,-3476.2,2022-11-06,-3476.2,2022-11-06,3476.2
16345,0.0,3106.68,2022-11-06,0.0,,3106.68,2022-11-06,-3106.68
16762,0.0,0.0,,-3106.7,2022-11-08,-3106.7,2022-11-08,3106.7
16376,0.0,3365.57,2022-11-08,0.0,,3365.57,2022-11-08,-3365.57
16792,0.0,0.0,,-3365.57,2022-11-10,-3365.57,2022-11-10,3365.57
16403,0.0,3106.68,2022-11-10,0.0,,3106.68,2022-11-10,-3106.68
16423,0.0,2666.56,2022-11-11,0.0,,2666.56,2022-11-11,-2666.56
16803,0.0,0.0,,-3107.0,2022-11-11,-3107.0,2022-11-11,3107.0
16844,0.0,0.0,,-2666.0,2022-11-15,-2666.0,2022-11-15,2666.0
16470,0.0,3365.57,2022-11-15,0.0,,3365.57,2022-11-15,-3365.57
16481,0.0,2122.9,2022-11-16,0.0,,2122.9,2022-11-16,-2122.9
16482,0.0,233.0,2022-11-16,0.0,,233.0,2022-11-16,-233.0
16846,0.0,0.0,,-3599.0,2022-11-16,-3599.0,2022-11-16,3599.0
16898,0.0,0.0,,-2123.0,2022-11-20,-2123.0,2022-11-20,2123.0
16516,0.0,2666.56,2022-11-20,0.0,,2666.56,2022-11-20,-2666.56
16912,0.0,0.0,,-2667.0,2022-11-21,-2667.0,2022-11-21,2667.0
16526,0.0,2796.02,2022-11-21,0.0,,2796.02,2022-11-21,-2796.02
16541,0.0,598.0,2022-11-22,0.0,,598.0,2022-11-22,-598.0
16590,0.0,3365.57,2022-11-25,0.0,,3365.57,2022-11-25,-3365.57
16976,0.0,0.0,,-3857.5,2022-11-25,-3857.5,2022-11-25,3857.5
16589,0.0,491.89,2022-11-25,0.0,,491.89,2022-11-25,-491.89
16610,0.0,3365.57,2022-11-27,0.0,,3365.57,2022-11-27,-3365.57
16995,0.0,0.0,,-3365.0,2022-11-27,-3365.0,2022-11-27,3365.0
16639,0.0,3365.57,2022-11-29,0.0,,3365.57,2022-11-29,-3365.57
17020,0.0,0.0,,-3365.5,2022-11-29,-3365.5,2022-11-29,3365.5
16670,0.0,3365.57,2022-12-01,0.0,,3365.57,2022-12-01,-3365.57
16677,0.0,2407.67,2022-12-02,0.0,,2407.67,2022-12-02,-2407.67
4360,0.0,-598.0,2022-12-02,0.0,,-598.0,2022-12-02,598.0
17043,0.0,0.0,,-5204.0,2022-12-02,-5204.0,2022-12-02,5204.0
16703,0.0,598.0,2022-12-04,0.0,,598.0,2022-12-04,-598.0
17086,0.0,0.0,,-3365.5,2022-12-04,-3365.5,2022-12-04,3365.5
16693,0.0,2977.24,2022-12-04,0.0,,2977.24,2022-12-04,-2977.24
16750,0.0,3682.47,2022-12-07,0.0,,3682.47,2022-12-07,-3682.47
4361,0.0,-598.0,2022-12-07,0.0,,-598.0,2022-12-07,598.0
17139,0.0,0.0,,-3682.5,2022-12-08,-3682.5,2022-12-08,3682.5
16771,0.0,4188.23,2022-12-08,0.0,,4188.23,2022-12-08,-4188.23
17183,0.0,0.0,,-4188.3,2022-12-09,-4188.3,2022-12-09,4188.3
16798,0.0,3327.35,2022-12-09,0.0,,3327.35,2022-12-09,-3327.35
17215,0.0,0.0,,-3327.4,2022-12-11,-3327.4,2022-12-11,3327.4
16807,0.0,3065.98,2022-12-11,0.0,,3065.98,2022-12-11,-3065.98
17239,0.0,0.0,,-3065.98,2022-12-13,-3065.98,2022-12-13,3065.98
16833,0.0,2912.42,2022-12-13,0.0,,2912.42,2022-12-13,-2912.42
17285,0.0,0.0,,-377.54,2022-12-16,-377.54,2022-12-16,377.54
17284,0.0,0.0,,-375.0,2022-12-16,-375.0,2022-12-16,375.0
17283,0.0,0.0,,-3000.0,2022-12-16,-3000.0,2022-12-16,3000.0
16884,0.0,6840.12,2022-12-16,0.0,,6840.12,2022-12-16,-6840.12
16932,0.0,3366.61,2022-12-18,0.0,,3366.61,2022-12-18,-3366.61
17312,0.0,0.0,,-6000.0,2022-12-18,-6000.0,2022-12-18,6000.0
16936,0.0,1196.0,2022-12-18,0.0,,1196.0,2022-12-18,-1196.0
17360,0.0,0.0,,-3366.61,2022-12-20,-3366.61,2022-12-20,3366.61
16978,0.0,3072.69,2022-12-20,0.0,,3072.69,2022-12-20,-3072.69
17024,0.0,1725.0,2022-12-22,0.0,,1725.0,2022-12-22,-1725.0
