"YEAR:","CURRENT"
"DATE:","END OF PERIOD"
"SORT ORDER:","CATEGORY"
"SUPPLIER:",""
"LOCATION:","01: TWK"

"ITEM NUMBER","CAT","GROUP","DESCRIPTION","BIN","","NORMAL","FAULTY","SUPPLR","SWP-OUT","OTHER","TOTAL","COST","VALUE"
"00000210","AGR","SEED","EGG FRUIT LONG PURPLE SEED 2G","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00000232","AGR","LPG AC","BULLNOSE 'O' RING FOR PIGTAIL","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"00000233","AGR","LPG AC","BULLNOSE HANDWHEEL","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"00000234","AGR","LPG AC","LIQUID STEM","","EA","5.00","0.00","0.00","0.00","0.00","5.00","N/A","N/A"
"00000237","AGR","LPG AC","SHUT OFF VALVE 1/4","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00000239","AGR","LPG AC","SHUT OFF VALVE 3/8 BUTTERFLY","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00000244","AGR","LPG AC","LOW PRESSURE C/O REGULATOR KIT(M)BRASS","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00000247","AGR","LPG AC","CHANGEOVER VALVE","","EA","9.00","0.00","0.00","0.00","0.00","9.00","N/A","N/A"
"00000248","AGR","LPG AC","ADAPTOR C X B","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00000251","AGR","LPG AC","BULLNOSE REGULATOR LOW PRESSURE","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00000252","AGR","LPG AC","BULLNOSE REGULATOR WITH GAUGE","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00000253","AGR","LPG AC","BULLNOSE REGULATOR FOR OUTDOOR USE (4KG)","","EA","5.00","0.00","0.00","0.00","0.00","5.00","N/A","N/A"
"00000255","AGR","LPG AC","ADAPTOR B X H","","EA","7.00","0.00","0.00","0.00","0.00","7.00","N/A","N/A"
"00000256","AGR","LPG AC","BRASS 'T' CONECTOR - 8MM","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"00000257","AGR","LPG AC","BRASS Y CONNECTOR - 8 MM","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00000258","AGR","LPG AC","GAS HOSE 8MM 30M","","EA","0.20","0.00","0.00","0.00","0.00","0.20","N/A","N/A"
"00000262","AGR","LPG AC","1/2 FEMALE HOSETAIL WASHER","","EA","4.00","0.00","0.00","0.00","0.00","4.00","N/A","N/A"
"00000264","AGR","LPG AC","1/2M X 3/8 OD COUPLER (68-6C)","","EA","17.00","0.00","0.00","0.00","0.00","17.00","N/A","N/A"
"00000266","AGR","LPG AC","3/8 M X 1/2 OD COUPLER (66-8C)","","EA","14.00","0.00","0.00","0.00","0.00","14.00","N/A","N/A"
"00000268","AGR","LPG AC","3/8 M X 1/4 OD COUPLER (68-4C)","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00000271","AGR","LPG AC","1/4 M X 1/4 OD COUPLER (68-4A)","","EA","5.00","0.00","0.00","0.00","0.00","5.00","N/A","N/A"
"00000277","AGR","LPG AC","3/8 F X 3/8 OD COUPLER (66-6C)","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00000279","AGR","LPG AC","1/4 F X 1/4 OD COUPLER (66-4A)","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00000281","AGR","FERTIL","ACID MIX - 30DM","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00000289","AGR","FERTIL","VERMICULITE -30DM","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00000291","AGR","FERTIL","PERLITE - 30DM","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00000295","AGR","FERTIL","PLANT VIGOUR 500ML","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00000298","AGR","SEED","LAKE MAIZE 711 GREEN TAXI PACK 200G","","EA","-21.00","0.00","0.00","0.00","0.00","-21.00","N/A","N/A"
"00000305","AGR","LPG AC","COUPLER 1/2 COPPER TO 8MM HOSE","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"00000306","AGR","LPG AC","1/2 MALE HOSE TAIL","","EA","11.00","0.00","0.00","0.00","0.00","11.00","N/A","N/A"
"00000308","AGR","","ALLFLEX EARTAG SHEEP M/F GREEN 20","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"00000319","AGR","","GAS HOSE 8MM 1 METER","","EA","27.00","0.00","0.00","0.00","0.00","27.00","N/A","N/A"
"00000326","AGR","","BKB DRUMMERBOY SHEEP SHEAR","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00000334","AGR","","HOSE CLAMP S/STEEL","","EA","19.00","0.00","0.00","0.00","0.00","19.00","N/A","N/A"
"00000346","AGR","","MONDIAL POTATOES L / M 10KG","","EA","5.00","0.00","0.00","0.00","0.00","5.00","N/A","N/A"
"00000413","AGR","","CARROT 5KG","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"00000414","AGR","","ONION 10KG","","EA","4.00","0.00","0.00","0.00","0.00","4.00","N/A","N/A"
"00000416","AGR","","WOODEN PALLET","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00000418","AGR","","FRESH PRODUCE SAMPLE","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00130001","AGR","PETFOO","BOBTAIL ADULT DOG FD 25KG, STEAK MED LRG","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00130002","AGR","PETFOO","BOBTAIL ADULT DOG FD 25KG, CHICK","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00190023","AGR","FEED","EPOL HERBIVORE ALL IN ONE PELLET 40KG","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00190032","AGR","FEED","EPOL COMPLETE RABBIT PELLETS 40KG","","EA","0.50","0.00","0.00","0.00","0.00","0.50","N/A","N/A"
"00250005","AGR","PETFOO","MONTEGO CLASSIC PUPPY 25KG","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00250012","AGR","PETFOO","MONTEGO CLASSIC SENIOR 25KG","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00250023","AGR","PETFOO","MONTEGO CLASSIC ROTISSERIE CHICKEN1.75KG","","EA","5.00","0.00","0.00","0.00","0.00","5.00","N/A","N/A"
"00250024","AGR","PETFOO","MONTEGO CLASSIC SLOW ROAST LAMB 1.75KG","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00250029","AGR","PETFOO","MONTEGO CLASSIC KITTEN CHICKEN 3KG","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00250033","AGR","PETFOO","MONTEGO CLASSIC ADULT SMALL BREED 5KG","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00300001","AGR","PESTIC","HERSCHELL DISINFECT FOGGER 375ML","","EA","4.00","0.00","0.00","0.00","0.00","4.00","N/A","N/A"
"00310003","AGR","PESTIC","PROTEK CUTWORM BAIT 1KG","","EA","5.00","0.00","0.00","0.00","0.00","5.00","N/A","N/A"
"00310007","AGR","PESTIC","PROTEK SCATTERKILL FOR WEED 500G","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"00310011","AGR","PESTIC","PROTEK ANTRAP OUTDOORS 2PK","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00310014","AGR","PESTIC","PROTEK CLEAR PAVE 100ML","","EA","6.00","0.00","0.00","0.00","0.00","6.00","N/A","N/A"
"00310022","AGR","PESTIC","PROTEK ROACH GEL 10G","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00310030","AGR","PESTIC","PROTEK FLYZONE BAIT & BAG","","EA","8.00","0.00","0.00","0.00","0.00","8.00","N/A","N/A"
"00320017","AGR","PESTIC","EFEKTO GO-GECKO 500ML","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"00320028","AGR","PESTIC","EFEKTO STALKBORER PLUS GRANUALS 1KG","","EA","5.00","0.00","0.00","0.00","0.00","5.00","N/A","N/A"
"00320041","AGR","PESTIC","EFEKTO ZERO ROACH BAIT 100G","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00320047","AGR","PESTIC","EFEKTO ROUNDUP WEEDKILLER CONCENTRATE 1L","","EA","5.00","0.00","0.00","0.00","0.00","5.00","N/A","N/A"
"00320049","AGR","PESTIC","EFEKTO SUPA-KILL FLY RIBBON 4 PACK","","EA","5.00","0.00","0.00","0.00","0.00","5.00","N/A","N/A"
"00320057","AGR","PESTIC","EFEKTO SNAILBAN 500G","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"00390002","AGR","HEALTH","F10 GERMICIDAL WOUND SPRAY + DYE 500ML","","EA","5.00","0.00","0.00","0.00","0.00","5.00","N/A","N/A"
"00390004","AGR","HEALTH","F10 HAND GEL W/PUMP 500ML","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"00460003","AGR","HEALTH","VIRBAC MULTIDIP 100ML","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00460007","AGR","HEALTH","VIRBAC AMIPOR POUR-ON 200ML","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00460008","AGR","HEALTH","VIRBAC DIZENE 100ML","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00460016","AGR","HEALTH","VIRBAC EQUIMAX NF 7.49G","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"00490002","AGR","PESTIC","REDTOP FLYTRAP COMPLETE 8L","","EA","-2.00","0.00","0.00","0.00","0.00","-2.00","N/A","N/A"
"00500001","AGR","PESTIC","COOPERS ULTRAKILL RAT&MOUSE PELLET 500G","","EA","12.00","0.00","0.00","0.00","0.00","12.00","N/A","N/A"
"00500004","AGR","PESTIC","COOPERS ULTRAKILL FLY BAIT 50G","","EA","36.00","0.00","0.00","0.00","0.00","36.00","N/A","N/A"
"00500005","AGR","PESTIC","COOPERS KILLEM FLY BAIT 100ML","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00500012","AGR","PESTIC","COOPERS NUPRO AERCSOL 330ML","","EA","7.00","0.00","0.00","0.00","0.00","7.00","N/A","N/A"
"00500016","AGR","PESTIC","COOPERS NUPRO AERCSOL 120ML","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"00500017","AGR","PESTIC","ULTRAKILL RAT & MOUSE WAX BLOCKS 500G","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"00500023","AGR","PESTIC","COOPERS ULTRAKILL FLY BAIT 1KG","","EA","5.00","0.00","0.00","0.00","0.00","5.00","N/A","N/A"
"00500029","AGR","","COOPER FLY CATCH COMPLETE DISOS","","EA","7.00","0.00","0.00","0.00","0.00","7.00","N/A","N/A"
"00520002","AGR","PETFOO","OPTIMIZOR BEEF ADULT 20KG","","EA","-1.00","0.00","0.00","0.00","0.00","-1.00","N/A","N/A"
"00540004","AGR","HEALTH","HITET 120 100ML BD","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00560009","AGR","HEALTH","ANTROVET IVER JECT METABOLIC 500ML","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00560010","AGR","HEALTH","ANTROVET MAXIMUS 500ML","","","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00580008","AGR","HEALTH","ASCENDIS REDNIL 100ML","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00580010","AGR","HEALTH","ASCENDIS ENDO+LINT 1L","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00580014","AGR","HEALTH","ASCENDIS MAXITET LA 100ML","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00580023","AGR","HEALTH","ASCENDIS IVERMAX + AD3E 1L","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00580024","AGR","","ASCENDIS BABEX 100ML","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00590002","AGR","HEALTH","KYROTRIM INJECTION 100ML","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00590003","AGR","HEALTH","KYRON DOCUSOL 500ML","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00640003","AGR","HEALTH","AFRIVET ERADIWORM 25 1L","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00640012","AGR","","AFRIVET ERADITICK 250 1LT","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00650002","AGR","FEED","RAMBO STARTER CRUMBLE 10KG","","EA","-2.50","0.00","0.00","0.00","0.00","-2.50","N/A","N/A"
"00690006","AGR","HEALTH","BAYER SULFAZINE 16%SOL. 100ML","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00690007","AGR","HEALTH","DRASTIC DEADLINE 1L","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00710015","AGR","HEALTH","MSD DELETE ALL POUR-ON 1L","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00750005","AGR","CONSUM","TUBE FEEDER PLASTIC","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00750007","AGR","CONSUM","FONT 12LT","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00750009","AGR","CONSUM","CHICK TRAY - ROUND CODE 602","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00750010","AGR","CONSUM","POLTEK FONT 750ML","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00750011","AGR","CONSUM","POLTEK FEEDER OVAL16 HOLE METAL","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00770003","AGR","HEALTH","ZOETIS VALBANTEL FOR CATTLE 500ML","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"00770009","AGR","HEALTH","ZOETIS TERRAMYCIN LA 100ML","","EA","5.00","0.00","0.00","0.00","0.00","5.00","N/A","N/A"
"00770013","AGR","HEALTH","ZOETIS VALBANTEL 5L","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00770014","AGR","HEALTH","ZOETIS DECTOMAX 20ML","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00800002","AGR","HEALTH","SWAVET STOCKHOLM TAR 500ML (DENVET) BD","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00800004","AGR","HEALTH","SWAVET CALF TEAT LATEX","","EA","5.00","0.00","0.00","0.00","0.00","5.00","N/A","N/A"
"00800005","AGR","HEALTH","SWAVET LAM TEATS LATEX","","EA","7.00","0.00","0.00","0.00","0.00","7.00","N/A","N/A"
"00800007","AGR","HEALTH","SWAVET EPSON SALTS 1KG","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00800008","AGR","HEALTH","SWAVET MILKING CREAM 500ML","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00800010","AGR","HEALTH","SWAVET TICK GREASE 500ML","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"00800011","AGR","HEALTH","LIQUID PARAFFIN (DENVET)","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00830010","AGR","FEED","AFGRI PIG GROWER 40KG","","EA","0.50","0.00","0.00","0.00","0.00","0.50","N/A","N/A"
"00920001","AGR","FEED","DE HEUS BROILER STARTER CRUMBLE 50KG","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00960003","AGR","DISABL","JAAGBAAN KULU DAG 50KG/TON","","EA","-18.55","0.00","0.00","0.00","0.00","-18.55","N/A","N/A"
"01000005","AGR","HEALTH","INFOTAG EARTAGS MARKING PEN","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"01000013","AGR","HEALTH","LIONELS INFO EARTAG F4 + M1 RED - 10","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"01000014","AGR","HEALTH","LIONELS LIGHT INFRATED 175W PHILLIPS","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"01000016","AGR","HEALTH","LIONELS INFO EARTAG F4 + M1 BLUE - 10","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"01000017","AGR","HEALTH","LIONELS INFO EARTAG F2 + M1 BLUE - 10","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"01000018","AGR","HEALTH","LIONELS INFO EARTAG F4 + M1 YELLOW - 10","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"01000019","AGR","HEALTH","LIONELS INFO EARTAG F3 + M3 GREEN - 10","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"01000020","AGR","HEALTH","LIONELS INFO EARTAG F3 + M3 BLUE - 10","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"01010001","AGR","DISABL","STARKE AYRES BEETROOT 10G","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"01060001","AGR","HERBIC","ENVIRO GLYPHOSATE 360 1L","","EA","4.00","0.00","0.00","0.00","0.00","4.00","N/A","N/A"
"01080005","AGR","HEALTH","ELANCO EKTOBAN 20L","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"01100002","AGR","HEALTH","MOLATEK MEESTER MASTER 20 40KG","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"01130003","AGR","","IDEAL DOG PUPPY 25KG","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"01250001","AGR","","CEVAMEC 1% INJECTION 500ML","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"01260001","AGR","","TEA ACTIVELY AERATED SOIL ELIXIR CON 5L","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"01270002","AGR","HEALTH","NEXGARD SPECTRA SMALL TAB 3.6-7.5KG","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"01270003","AGR","HEALTH","NEXGARD SPECTRA MED TAB 7.6-15KG","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"01270004","AGR","HEALTH","NEXGARD SPECTRA X-LARGE TAB 30.1-60KG","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"01270008","AGR","HEALTH","NEXGARD SPECTRA X-SMALL TAB 2-3.5KG","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"01280010","AGR","","FORGE OIL HYDRAULIC 68VIS 5L","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"01280012","AGR","","FORGE OIL UNIVERS UTTO TRANSMISSION 5L","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"01280013","AGR","","FORGE OIL EP GEAR 80W90 GI5 500ML","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"01280016","AGR","","FORGE OIL CUTTER BAR 110 500ML","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"01330001","AGR","","RIMAX DOG FOOD 20KG","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"14.1","CYL","CYL","14KG CYLINDER DEPOSIT","","EA","123.00","0.00","0.00","0.00","0.00","123.00","N/A","N/A"
"19.1","CYL","CYL","19KG CYLINDER DEPOSIT","","EA","183.00","0.00","0.00","0.00","0.00","183.00","N/A","N/A"
"9.1","CYL","CYL","9KG CYLINDER DEPOSIT","","EA","436.00","0.00","0.00","0.00","0.00","436.00","N/A","N/A"
"D.1","CYL","CYL","48KG DV CYLINDER DEPOSIT","","EA","50.00","2.00","0.00","0.00","0.00","52.00","N/A","N/A"
"S.1","CYL","CYL","48KG SV CYLINDER DEPOSIT","","EA","176.00","0.00","0.00","0.00","0.00","176.00","N/A","N/A"
"D.4","DV","LPG","48KG DV LPG - PACKED","","EA","10.00","1.00","0.00","0.00","0.00","11.00","N/A","N/A"
"D01","DV","LPG","48KG DOUBLE VALVE PACKED","","EA","12.00","0.00","0.00","0.00","0.00","12.00","N/A","N/A"
"PIPE01","FIT","ACC","HIGH PRESSURE HOSE","","EA","5.00","0.00","0.00","0.00","0.00","5.00","N/A","N/A"
"MSM.M","IND","IND","SURE MIX 20L M","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"LPG-01","LPG","LPG","LPG BULK / TOPUP","","EA","504.60","0.00","0.00","0.00","0.00","504.60","N/A","N/A"
"S.4","SV","LPG","48KG SV LPG- PACKED","","EA","34.00","1.00","0.00","0.00","0.00","35.00","N/A","N/A"
"S01","SV","LPG","48KG SINGLE VALVE PACKED","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
